Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
26,0,-0.0326539,0.0152588,0.0488282,-7.81251,5.95093,7.37001,300,-200,0,-0.0337219,0.000457772,-0.0119018,7.69042,-4.30297,-1.1444,-300,200,0,0.0289917,0.0393677,-0.0106812,15.686,-15.2893,1.1902,300,200,0,0.0267028,0.0875854,0.00579825,-11.2305,17.1204,-5.31005,-300,-200,0
26,1,-0.00213629,-0.0762939,-0.134277,4.39452,-12.3596,-1.78526,300,-200,0,-0.00320433,0.0309754,0.0491334,-4.51661,-4.30297,-1.1444,-300,200,0,-0.0320435,-0.0216675,0.050354,-8.72802,3.02126,10.3455,300,200,0,-0.0343323,-0.0344849,-0.0552369,13.1836,-1.19017,-14.4653,-300,-200,0
27,0,-0.0326539,-0.0152588,-0.0732421,4.39452,-12.3596,7.37001,300,-200,0,-0.00320433,0.0309754,0.0491334,-4.5166,-40.9241,-10.2997,-300,200,0,-0.00152588,-0.0216675,-0.0106812,27.8931,3.02125,-7.96508,300,200,0,-0.00381472,-0.0344849,-0.0552369,0.976549,17.1204,-5.31005,-300,-200,0
27,1,0.0283813,0.0152588,-0.012207,16.6016,5.95093,16.5253,300,-200,0,0.0578308,0.000457786,-0.0729369,7.69042,-4.30297,8.01087,-300,200,0,-0.0320434,0.0393677,0.111389,3.47901,21.3318,-7.96508,300,200,0,-0.00381472,-0.0344849,0.00579825,0.976546,35.4309,13.0005,-300,-200,0
28,0,-0.0326538,0.0457764,-0.012207,-7.81251,24.2615,16.5253,300,-200,0,-0.0337219,0.0309753,-0.0119018,7.69042,14.0076,-10.2997,-300,200,0,-0.0320435,-0.0216675,-0.0106812,-8.72802,-15.2893,-7.96508,300,200,0,-0.00381473,0.0570678,-0.0552369,13.1836,-19.5007,3.84523,-300,-200,0
28,1,-0.00213627,0.0457764,-0.012207,-20.0195,-12.3596,16.5253,300,-200,0,-0.0337219,0.000457772,0.110169,-4.5166,-22.6135,8.01087,-300,200,0,-0.00152587,0.0393677,-0.0106812,-8.72802,-15.2893,1.1902,300,200,0,-0.00381472,-0.00396732,0.0668334,0.976549,17.1204,-5.31005,-300,-200,0
29,0,-0.00213628,0.0152588,-0.012207,16.6016,24.2615,7.37001,300,-200,0,-0.00320436,0.214081,-0.0119018,-4.51662,105.56,-10.2997,-300,200,0,-0.00152588,-0.0216675,0.050354,-8.72802,-15.2893,10.3455,300,200,0,-0.00381472,-0.0344849,0.0668334,0.976554,-19.5007,-5.31005,-300,-200,0
29,1,-0.00213628,-0.0152588,-0.0732421,-7.81251,5.95093,-10.9405,300,-200,0,0.0273133,0.000457781,0.0491334,19.8975,-4.30297,-10.2997,-300,200,0,-0.00152588,-0.0216675,-0.498962,15.686,-15.2893,-7.96508,300,200,0,-0.00381472,0.0265503,-0.0552369,0.976551,-1.19017,-14.4653,-300,-200,0
30,0,0.0588989,-0.0152588,-0.0732421,41.0156,24.2615,7.37001,300,-200,0,-0.00320432,0.000457777,-0.0729369,-4.51661,-4.30297,-10.2997,-300,200,0,-0.00152588,-0.0216675,-0.0717163,3.47901,-15.2893,10.3455,300,200,0,-0.0343323,0.0265503,0.00579825,0.976554,-19.5007,-5.31005,-300,-200,0
30,1,0.0283813,0.0152588,0.0488282,4.39452,5.95093,-10.9405,300,-200,0,-0.00320433,0.0309754,-0.0119018,-16.7236,-4.30298,8.01087,-300,200,0,-0.0320435,0.00885013,0.050354,-8.72802,3.02126,-17.1203,300,200,0,0.0267029,0.0265503,0.00579825,0.976551,-1.19017,-5.31005,-300,-200,0
31,0,-0.093689,0.0152588,0.0488282,4.39452,24.2615,7.37001,300,-200,0,0.0273133,-0.0605774,0.0491334,-16.7236,32.3181,8.01087,-300,200,0,0.0595093,-0.0216675,-0.0717163,3.47901,3.02125,10.3455,300,200,0,-0.0343323,-0.0344849,0.0668334,-11.2305,17.1204,13.0005,-300,-200,0
31,1,-0.00213629,-0.0457764,-0.012207,4.39452,-30.6702,16.5253,300,-200,0,-0.00320432,-0.0300598,-0.0729369,-4.51661,-4.30297,-1.1444,-300,200,0,-0.00152588,0.00885012,0.050354,3.47901,-15.2893,1.1902,300,200,0,0.0267029,0.0265503,0.00579825,-11.2305,-37.8113,22.1558,-300,-200,0
32,0,-0.0631714,0.0152588,-0.0732421,4.39453,42.572,-1.78526,300,-200,0,0.0273132,0.0614929,0.0491334,-4.51661,14.0076,-10.2997,-300,200,0,-0.0320434,0.0393677,-0.0717163,3.47901,3.02125,-7.96508,300,200,0,-0.0343323,0.0570678,0.00579825,25.3906,-1.19017,3.84523,-300,-200,0
32,1,-0.00213628,-0.0152588,0.0488282,-7.81251,5.95093,-10.9405,300,-200,0,-0.0337219,0.0309753,-0.0729369,-4.51661,-4.30297,-10.2997,-300,200,0,-0.0320435,0.00885013,-0.0106812,-8.72802,3.02126,-7.96508,300,200,0,-0.0648499,-0.00396733,0.0668334,13.1836,-19.5007,-32.7759,-300,-200,0
33,0,-0.00213629,-0.0457764,-0.0732421,28.8086,5.95093,16.5253,300,-200,0,-0.00320432,-0.0300598,0.0491334,7.69043,-40.9241,-10.2997,-300,200,0,-0.0320435,-0.0216675,0.050354,3.47901,3.02125,1.1902,300,200,0,-0.0648499,0.0265502,0.00579825,13.1836,17.1204,3.84523,-300,-200,0
33,1,-0.00213627,0.0457764,-0.012207,4.39452,24.2615,16.5253,300,-200,0,-0.00320433,0.0309754,-0.0729369,19.8975,14.0076,8.01087,-300,200,0,-0.00152588,0.00885012,0.050354,15.686,-15.2893,-7.96508,300,200,0,-0.00381472,0.0265503,0.0668334,-11.2305,-19.5007,-32.7759,-300,-200,0
34,0,-0.0631714,0.0152588,-0.012207,-7.81251,-12.3596,7.37001,300,-200,0,-0.00320433,0.0614929,-0.0119018,-16.7236,-4.30298,-1.1444,-300,200,0,-0.00152587,0.0698853,-0.0106812,3.47901,3.02125,1.1902,300,200,0,-0.0953675,0.0570678,-0.116272,0.976554,-19.5007,-23.6206,-300,-200,0
